date,count,NaN
2019-09-28 09:17:25,9,
2019-09-28 09:17:37,9,
2019-09-28 09:17:49,9,
2019-09-28 09:20:53,9,
2019-09-28 09:22:03,7,
2019-09-28 16:19:58,7,
2019-09-28 16:20:45,9,
2019-09-28 16:22:56,13,
2019-09-28 16:25:59,3,
2019-09-28 16:27:18,8,
2019-09-28 16:41:10,23,
2019-10-09 12:21:23,23,
2019-10-09 12:22:32,23,
2019-10-09 12:23:29,3,
2019-10-09 12:24:29,66,
2019-10-09 12:25:51,26,
2019-10-09 12:26:21,91,
2019-10-09 12:26:47,91,
2019-10-09 12:27:36,77,
2019-10-09 12:28:22,80,
2020-01-17 19:21:31,10,
2020-01-17 19:22:56,17,
2020-01-17 19:24:11,13,
2020-01-17 19:25:38,5,
2020-01-17 19:26:17,1,
2020-01-19 15:47:18,21,
2020-01-19 15:48:18,17,
2020-01-19 15:58:27,3,
2020-01-19 16:00:16,10,
2020-01-19 16:00:47,6,
2020-01-19 16:01:11,4,
2020-01-19 16:04:41,4,
2020-01-19 16:05:07,22,
2020-01-19 16:10:19,83,
2020-01-19 16:20:55,53,
2020-01-19 16:25:09,20,
2020-01-19 16:30:00,31,
2020-01-19 16:39:18,22,
2020-01-19 16:40:06,10,
2020-01-19 17:25:38,22,
2020-01-19 17:26:10,22,
2020-01-19 17:26:53,22,
2020-01-19 17:27:59,22,
2020-01-22 20:21:25,67,
